Autovalor;Multiplicidade Algebrica;Multiplicidade Geometrica
-4.50;1;N/A
-4.50;1;N/A
-4.49;1;N/A
-4.48;1;N/A
-4.48;1;N/A
-4.47;1;N/A
-4.45;1;N/A
-4.44;1;N/A
-4.42;1;N/A
-4.40;1;N/A
-4.38;1;N/A
-4.36;1;N/A
-4.34;1;N/A
-4.31;1;N/A
-4.29;1;N/A
-4.26;1;N/A
-4.23;1;N/A
-4.19;1;N/A
-4.16;1;N/A
-4.13;1;N/A
-4.09;1;N/A
-4.05;1;N/A
-4.01;1;N/A
-3.97;1;N/A
-3.93;1;N/A
-3.88;1;N/A
-3.84;1;N/A
-3.79;1;N/A
-3.74;1;N/A
-3.69;1;N/A
-3.64;1;N/A
-3.59;1;N/A
-3.54;1;N/A
-3.48;1;N/A
-3.43;1;N/A
-3.37;1;N/A
-3.32;1;N/A
-3.26;1;N/A
-3.20;1;N/A
-3.14;1;N/A
-3.08;1;N/A
-3.02;1;N/A
-2.96;1;N/A
-2.90;1;N/A
-2.84;1;N/A
-2.78;1;N/A
-2.72;1;N/A
-2.66;1;N/A
-2.59;1;N/A
-2.53;1;N/A
-2.47;1;N/A
-2.41;1;N/A
-2.34;1;N/A
-2.28;1;N/A
-2.22;1;N/A
-2.16;1;N/A
-2.10;1;N/A
-2.04;1;N/A
-1.98;1;N/A
-1.92;1;N/A
-1.86;1;N/A
-1.80;1;N/A
-1.74;1;N/A
-1.68;1;N/A
-1.63;1;N/A
-1.57;1;N/A
-1.52;1;N/A
-1.46;1;N/A
-1.41;1;N/A
-1.36;1;N/A
-1.31;1;N/A
-1.26;1;N/A
-1.21;1;N/A
-1.16;1;N/A
-1.12;1;N/A
-1.07;1;N/A
-1.03;1;N/A
-0.99;1;N/A
-0.95;1;N/A
-0.91;1;N/A
-0.87;1;N/A
-0.84;1;N/A
-0.81;1;N/A
-0.77;1;N/A
-0.74;1;N/A
-0.71;1;N/A
-0.69;1;N/A
-0.66;1;N/A
-0.64;1;N/A
-0.62;1;N/A
-0.60;1;N/A
-0.58;1;N/A
-0.56;1;N/A
-0.55;1;N/A
-0.53;1;N/A
-0.52;1;N/A
-0.52;1;N/A
-0.51;1;N/A
-0.50;1;N/A
-0.50;1;N/A
